date,views,rooms,size,reconstructed,garage,balcony,price,new,location,top
2025-07-28,512,2.0,47.0,False,False,True,104990.0,False,Topoľčany,False
2025-07-28,746,1.0,36.0,True,False,True,155000.0,False,Košice,False
2025-08-23,195,2.0,70.0,True,False,True,69990.0,True,Martin,False
2025-08-23,222,2.0,60.0,True,False,True,145900.0,False,Martin,False
2025-08-23,191,2.0,60.0,True,False,True,105000.0,True,Martin,False
2025-08-23,301,2.0,55.0,True,False,False,79900.0,False,Humenné,False
2025-08-23,166,2.0,55.0,True,False,False,88500.0,False,Humenné,False
2025-08-23,569,2.0,68.0,True,True,False,169000.0,True,Senec,False
2025-08-23,117,3.0,64.0,True,False,True,128000.0,False,Dunajská Streda,False
2025-08-23,102,3.0,70.0,False,True,False,179900.0,True,Dunajská Streda,False
2025-08-23,453,1.0,160.0,False,False,True,98000.0,False,Galanta,False
2025-08-23,78,3.0,74.0,True,False,True,175000.0,True,Dunajská Streda,False
2025-08-23,129,3.0,8.0,False,True,False,164200.0,True,Dunajská Streda,False
2025-08-23,82,2.0,5.0,False,True,False,133500.0,True,Dunajská Streda,False
2025-08-23,101,3.0,3.0,False,True,False,158800.0,True,Dunajská Streda,False
2025-08-23,114,3.0,70.0,True,True,True,118000.0,False,Dunajská Streda,False
2025-08-23,69,2.0,64.0,False,True,False,134900.0,True,Dunajská Streda,False
2025-08-23,184,3.0,67.0,True,False,True,106000.0,True,Dunajská Streda,False
2025-08-23,106,3.0,65.0,False,False,True,157350.0,True,Dunajská Streda,False
2025-08-23,128,3.0,72.0,False,True,False,110000.0,True,Dunajská Streda,False
2025-08-18,250,3.0,74.0,True,False,True,114999.0,False,Vranov nad Topľou,False
2025-08-18,504,4.0,150.0,False,False,True,436240.0,True,Pezinok,False
2025-08-18,163,2.0,56.0,True,False,False,88500.0,True,Komárno,False
2025-08-18,503,2.0,51.0,False,False,True,185000.0,True,Senec,True
2025-08-18,438,2.0,54.0,True,False,False,120000.0,False,Žiar nad Hronom,False
2025-08-18,141,3.0,70.0,True,False,True,188000.0,False,Poprad,False
2025-08-18,389,3.0,84.0,True,False,False,120000.0,False,Liptovský Mikuláš,False
2025-08-18,453,3.0,70.0,True,False,False,120000.0,False,Michalovce,False
2025-08-18,724,3.0,83.0,True,False,True,144000.0,False,Šaľa,False
2025-09-07,29,2.0,50.0,True,False,True,57950.0,True,Prievidza,False
2025-09-07,59,1.0,40.0,True,False,False,67900.0,False,Detva,False
2025-09-07,51,2.0,48.0,True,False,True,185000.0,False,Bratislava,False
2025-09-07,29,4.0,74.0,True,False,True,169900.0,True,Nové Zámky,False
2025-09-07,35,3.0,62.0,False,False,False,99000.0,False,Trenčín,False
2025-09-07,35,0.0,20.0,False,False,False,82999.0,False,Brezno,False
2025-09-07,32,3.0,80.0,True,True,False,165000.0,False,Prešov,False
2025-09-07,46,9.0,52.0,False,False,True,215000.0,False,Bratislava,False
2025-09-07,28,3.0,5.0,True,False,True,139900.0,True,Šaľa,False
2025-09-07,30,2.0,5.0,True,False,True,89900.0,True,Šaľa,False
2025-09-07,39,3.0,8.0,True,False,True,158000.0,True,Nitra,False
2025-09-07,28,1.0,5.0,False,False,True,69900.0,True,Šaľa,False
